,Title,Citation,DOI,Year,FINDINGS,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
0,"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition","PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095926,2013,"Shifted blots, representing different proteins","Nephrology Unit, Department of Medicine, Faculty of Medicine, Thammasat University (Rangsit Campus), Khlong Nueng, Khlong Luang, Pathum Thani 12121, Thailand.",9,,Psychology,3.25,100,10
1,Physical characterisation of Tenacibaculum maritimum for vaccine development,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1155/2014/164391,2013,"duplicated gel panels, exact duplicate","Divisiont of Urology, Kobe University Graduate School of Medicine, Japan. hara@med.kobe-u.ac.jp",5,,,0.7142857142857143,34,11
2,Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"Infect. Immun. Feb. 2003, p. 948Ä955 Vol. 71, No. 2",10.1371/journal.pone.0099137,2013,Duplicated microscopy images,None,13,Doctor of Philosophy,,1.2222222222222223,29,15
3,Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1016/j.cyto.2008.12.013,2009,"Duplicated/mirrored bands, manipulated","a Ovarian Cancer Research Center ; Department of Obstetrics and Gynecology ; Perelman School of Medicine; University of Pennsylvania ; Philadelphia , PA USA.",15,,,42.857142857142854,13,8
4,Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"Environmental Microbiology (2009) 11(5), 1126Ä1136",10.1002/ijc.27989,2011,Duplicated lanes within same gel panel,"National Institute of Biomedical Genomics, 2nd Floor Netaji Subash Sanatorium, Kalyani 741251, India.",5,DVM,,0.6666666666666666,9,6
5,Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,"Infect. Immun. 2012, 80(8):2948",10.1371/journal.pone.0095434,2008,"Duplicated, and shifted GAPDH gel panel","Breast Disease Center, Southwest Hospital, Third Military Medical University, Chongqing, P.R. China.",13,,,50.0,18,18
6,Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981",10.1016/j.cyto.2005.12.007,2014,"duplicated FACS plots, one pair exact, other possibly altered, duplicated blot panels, flipped","Department of Minimally Invasive Surgery, The First Affiliated Hospital of Nanjing Medical University, Nanjing 210029, P.R. China.",5,,,8.5,1,12
7,Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,Lung Cancer 63 (2009) 227Ä234,10.1371/journal.pone.0086342,2012,"Multiple, multiple cases of duplicated lanes within blots/gels","Nephrology Unit, Department of Medicine, Faculty of Medicine, Thammasat University (Rangsit Campus), Khlong Nueng, Khlong Luang, Pathum Thani 12121, Thailand.",13,,,4.125,300,7
8,A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,"Infect. Immun. 2012, 80(3):1193",10.1371/journal.ppat.1003576,2012,Rotated western blot,"Department of Craniofacial Biology and the Center for Oral Health Research, Medical University of South Carolina, SC 29425, United States.",13,,,0.6666666666666666,89,19
9,Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1038/onc.2013.184,2004,"Overlapping microscopy, manipulated images of mice",None,9,,,0.4705882352941176,30,11
10,The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Journal of Autoimmunity 25 (2005) 206-214,10.1016/j.cyto.2013.04.009,2013,"Possible patches in microscopy, possible duplicated lanes","University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom",0,,,3.5,89,11
11,"Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuclear Cells and Corneal Epithelial Cells",Cytokine 46 (2009) 96Ä99,10.1016/j.cyto.2005.12.007,2014,Duplicated microscopy images,"Second Department of Internal Medicine, Tottori University School of Medicine, Tottori 683-8504, Japan.",11,PhD,Engineering,2.0,11,4
12,Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1016/j.cyto.2008.12.021,2011,Duplicated control blot panel,"National Institute of Biomedical Genomics, 2nd Floor Netaji Subash Sanatorium, Kalyani 741251, India.",11,,,1.5714285714285714,7,4
13,Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer,"J. Clin. Microbiol. 2003, 41(8):3584",10.1186/bcr3322,2012,"Possible patches in microscopy, possible duplicated lanes","The Johns Hopkins Oncology Center, Program in Human Genetics, The Johns Hopkins University School of Medicine, Baltimore, Maryland 21231, USA.",11,,,75.0,30,3
14,D14ÄSCFD3-dependent degradation of D53 regulates strigolactone signalling,"Infection and Immunity 73: Feb. 2003, p. 766Ä773",10.1016/j.lungcan.2008.05.026,2014,"duplicated background, pasted-in bands?","Servicio de Microbiología, Hospital Son Dureta and Instituto Universitario de Investigación en Ciencias de la Salud, Palma de Mallorca, Spain.",17,,Biology,2.6,66,15
15,Physical characterisation of Tenacibaculum maritimum for vaccine development,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1038/nature08027,2014,Duplicated microscopy panels,"Institute of Medicine, Chung Shan Medical University, No. 110, Section 1, Jianguo N. Road, Taichung 402, Taiwan.",7,PhD in Biochemistry,Biology,0.75,89,4
16,First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe,Cytokine 30 (2005) 319-327,10.1155/2013/467245,2013,Manipulated FACS plots,"Departamento de Bioquímica y Biología Molecular, Facultad de Ciencias Químicas y Farmacéuticas, Universidad de Chile, Santiago, Chile.",13,DVM,Biology,1.3333333333333333,8,9
17,Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis,Cytokine 63 (2013) 1Ä5,10.1016/j.cyto.2011.06.005,2013,overlapping microscopy images,"Department of Human and Molecular Genetics, Virginia Commonwealth University School of Medicine, Richmond, VA.",17,PhD Chemistry,,3.0,300,1
18,Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with Gastrointestinal Diseases in Piglets,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1186/bcr3200,2014,"Reused lanes, possibly duplicated lanes","Department of Bioengineering, University of California, Berkeley, California 94720, USA.",9,,Biology,0.5,22,9
19,Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,Journal of Autoimmunity 54 (2014) 118-126,10.1155/2012/732578,2014,Duplicated negative blot,"Department of Veterinary Biosciences, College of Veterinary Medicine, The Ohio State University, Columbus 43210-1093, USA.",15,PhD,,0.8,14,16
20,Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,Cytokine 60 (2012) 284Ä293,10.1371/journal.pone.0053510,2010,Overlapping microscopy panels,"Department of Life Science, National Taiwan Normal University, 88 Ting-chou Road, sec 4, Taipei, Taiwan.",5,PhD,Biology,3.25,40,27
21,Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"Science 325, 1254 (2009)",10.1111/j.1348-0421.2004.tb03525.x,1998,"Duplicated cells within microscopy panels, multiple cases, duplicated blots","Case Western Reserve University, Center for Global Health and Diseases, Cleveland, Ohio, USA",21,,,5.0,300,5
22,Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Microbiol Immunol 2010; 54: 564Ä567,10.1371/journal.pone.0096343,2013,"Duplicated blot strips, two cases","Department of Veterinary PathoBiology, College of Veterinary Medicine, University of Minnesota, St. Paul, Minnesota 55108, USA.",3,DVM,Engineering,0.8333333333333334,12,6
23,CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,Cytokine 36 (2006) 218Ä228,10.1111/j.1348-0421.2004.tb03525.x,2010,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel","Department of Experimental Medicine, Section of Microbiology and Clinical Microbiology, Faculty of Medicine, Second University of Naples, Naples, Italy.",7,,Political Science,17.647058823529417,76,10
24,cDNA cloning and functional analysis of goose interleukin-2,"Infect. Immun. Mar. 2010, p. 994Ä1003 Vol. 78, No. 3",10.1371/journal.pone.0096343,2009,overlapping microscopy images,"Program on Emerging Infectious Diseases, DUKE-NUS Graduate Medical School, Singapore",11,PhD,Biology,0.8333333333333334,8,27
25,Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,Journal of Autoimmunity 27 (2006) 38-49,10.1016/j.cyto.2008.06.003,2014,Overlapping microscopy images,"INSERM U 427, Faculté des Sciences Pharmaceutiques et Biologiques de Paris, Université René Descartes, Paris V, 4 avenue de l'Observatoire, 75270 Paris Cedex 06, France.",13,,,26.0,300,10
26,RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"Environmental Microbiology (2012) 14(8), 1982Ä1994",10.1073/pnas.1202214109,2014,"Duplicated blots, multiple cases",None,9,PhD,Biology,30.0,25,10
27,"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts","BMC Microbiology 2013, 13:113",10.1186/1471-2180-10-53,2012,Overlapping microscopy images,"National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America",25,Ph.D,,3.7777777777777777,9,10
28,Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1016/j.lungcan.2006.06.006,2011,"duplicated blots, shifted, band duplicated within same panel",None,11,,Medicine,7.777777777777778,300,8
29,Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn,"Lung Cancer (2006) 53, 263Å271",10.1016/j.cyto.2012.05.021,2004,Duplicated blots,"Department of Pathophysiology, School of Pharmacy and Biochemistry, University of Buenos Aires, INFIBIOC-CONICET, Argentina ; Cátedra de Fisiopatología, Facultad de Farmacia y Bioquímica, UBA, Junín 956, Piso 5, 1113 Buenos Aires, Argentina.",7,,,42.857142857142854,144,6
30,TspanC8 tetraspanins regulate ADAM10/Kuzbanian trafficking and promote Notch activation in flies and mammals,Cytokine 42 (2008) 198Ä204,10.1016/j.cyto.2007.01.002,2008,duplicated microscopy panels,"Department of Internal Medicine, Faculty of Medicine, Saga University, 5-1-1 Nabeshima, Saga 849-8501, Japan.",15,Doctor of Philosophy,Biology,3.6,13,14
