,Citation,DOI,Year,FINDINGS,title,affiliation,lab_size,Highest_degree,Degree_area,Publication_Rate,Other Journals Published In,duration of Career(Years)
0,Cytokine 33 (2006) 138e144,10.1155/2014/989340,2007,"Duplicated or mirrored blot panels, or lanes within blots",Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells,"McArdle Laboratory for Cancer Research, University of Wisconsin-Madison, Madison, WI 53706, USA.",13,,,8.571428571428571,24,5
1,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1155/2013/308130,2009,Two sets of rotated microscopy images,Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide,"National Centre for Marine Conservation & Resource Sustainability, University of Tasmania, Tasmania, Australia. rvangeld@utas.edu.au",13,PhD,Biology,1.7407407407407407,29,9
2,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1128/mBio.00275-11,2012,two sets of duplicated facs panels but different percentages gated points,Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,"UMR 7242, Université de Strasbourg-CNRS, ESBS, Blvd Sébastien Brant, F-67413 Illkirch, Strasbourg, France.",7,,,1.0,26,9
3,"Cancer Cell 26, 754Ä769, November 10, 2014",PMID: 9620397,2014,"Reused lanes, possibly duplicated lanes",Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,"Anhui Provincial Laboratories of Pathogen Biology and Zoonoses, Department of Microbiology and Parasitology, Anhui Medical University, Hefei, China",21,,,2.142857142857143,28,7
4,"Infect. Immun. 2012, 80(8):2689",10.1371/journal.ppat.1003896,2013,Duplicated blot panel,D14ÄSCFD3-dependent degradation of D53 regulates strigolactone signalling,"Laboratory of Lung Biology, Department of Pathobiological Sciences and Center for Experimental Infectious Disease Research, Harvard Medical School, Boston, Massachusetts, USA",23,PhD,,2.5,10,9
5,"PNAS | Published online December 23, 2013 | E89ÄE98",10.1155/2013/467245,2003,Overlapping microscopy images,"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes","Department of Orthopedic Surgery, Xinhua Hospital, Shanghai Jiaotong University School of Medicine, Shanghai 200092, China.",15,Doctor of Philosophy,,24.88888888888889,3,19
6,Journal of Autoimmunity 28 (2007) 99-113,10.1128/IAI.01769-14,2012,Duplicated lanes within same gel panel,Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,"CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France",9,BSc in Pharmacy,,1.7,18,10
7,"Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857",10.1128/IAI.00956-09,2012,"Duplicated compressed blots, overlapping microscopy",Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,"Department of Pediatrics, Children's Hospital, Room 2.300, University of Texas Medical Branch, 301 University Blvd., Galveston, TX 77555, USA.",19,PhD,,33.333333333333336,33,3
8,"PNAS | July 9, 2013 | vol. 110 | no. 28 | 11409Ä11414",10.1371/journal.pone.0090318,2012,duplicated bands within same gel panel,Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel",9,,,3.8571428571428568,36,16
9,"Breast Cancer Research 2012, 14:R35",10.1128/IAI.01769-14,2014,shifted GAPDH panels,Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,"Department of Oral and Maxillofacial Surgery, Hyogo College of Medicine, Nishinomiya, Hyogo 663-8501, Japan.",19,DVM,,2.0,300,7
10,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1128/IAI.00956-09,2013,"Duplicated blot panels, different exposure",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"The Lautenberg Center for General and Tumor Immunology, Hebrew University-Hadassah Medical School, Jerusalem 91120, Israel.",6,Ph.D.,,2.6666666666666665,25,17
11,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1128/IAI.00956-09,2006,Same band seen twice in one blot strip,Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,"Faculty of Pharmacy, Universiti Teknologi MARA, Puncak Alam Campus, 42300 Bandar Puncak Alam, Selangor, Malaysia.",4,,,3.272727272727273,3,16
12,"Infect. Immun. 2013, 81(9):3239. DOI: 10.1128/IAI.00552-13",10.1128/IAI.01008-13,2011,Duplicated whole figure; very likely error,STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway and plays a role in U937 cells production of interleukin-6,"Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",0,,Physics,3.125,10,3
